,dataset,method,accuracy,accuracy,auc_roc,auc_roc,f1_score,f1_score
,,,mean,std,mean,std,mean,std
20,German.mat,balanced_softmax,0.71,0.019364916731037067,0.7899999999999999,0.025398747447110168,0.7208144987210144,0.017776266442070688
21,German.mat,deepsmote,0.731,0.017102631376487078,0.7838571428571429,0.021726532939244897,0.7366030454253677,0.01729733019828644
22,German.mat,ldam,0.758,0.024135036772294356,0.7772857142857144,0.022641342395881243,0.7485393229845615,0.02595010235853037
23,German.mat,mlp_focal,0.626,0.027703790354390204,0.7823333333333333,0.02809972724426012,0.6371690351975446,0.02879936526338643
24,Haberman.mat,balanced_softmax,0.6959280803807509,0.054737416055543865,0.7033986928104575,0.10209180205595932,0.703800285887447,0.053350557288125995
25,Haberman.mat,deepsmote,0.6666314119513486,0.055315002228408475,0.7071241830065359,0.08777347522536452,0.6831646435282772,0.051045161079571404
26,Haberman.mat,ldam,0.7482284505552618,0.047964215103197566,0.7244444444444444,0.10260683983169404,0.7213819603448061,0.05815795326714985
27,Haberman.mat,mlp_focal,0.42480169222633524,0.04281227594374854,0.7124673202614379,0.10079429186361914,0.4010678590782388,0.07169960417260328
28,Ionosphere.mat,balanced_softmax,0.9515090543259557,0.02398927059711579,0.9888,0.014105073073889177,0.9509797116699132,0.024606664564336966
29,Ionosphere.mat,deepsmote,0.948692152917505,0.016369665377176285,0.9860786324786325,0.006160604076625949,0.9486055972261308,0.016210341751568734
30,Ionosphere.mat,ldam,0.9430181086519115,0.022590565100680436,0.9882666666666667,0.0152594030917349,0.9422431781279561,0.023125884923013356
31,Ionosphere.mat,mlp_focal,0.9429778672032192,0.022684544017012444,0.9900444444444446,0.009138711582204313,0.9423506584064756,0.023158140051191916
32,Monk_1.mat,balanced_softmax,1.0,0.0,1.0,0.0,1.0,0.0
33,Monk_1.mat,deepsmote,1.0,0.0,1.0,0.0,1.0,0.0
34,Monk_1.mat,ldam,1.0,0.0,1.0,0.0,1.0,0.0
35,Monk_1.mat,mlp_focal,1.0,0.0,1.0,0.0,1.0,0.0
36,Monk_2.mat,balanced_softmax,0.9600964187327824,0.03347577170045474,0.9971096311324776,0.0035463227832525537,0.9607142218430533,0.032882646580248795
37,Monk_2.mat,deepsmote,0.8934297520661157,0.05359858385115352,0.9689660241991207,0.025629380684347516,0.8955829778853183,0.05200554577295704
38,Monk_2.mat,ldam,0.9417493112947659,0.03176004342255551,0.9864434937296933,0.010758045970501687,0.9425592736177781,0.030825418432414237
39,Monk_2.mat,mlp_focal,0.8501928374655648,0.05252914691667137,0.9904423763948309,0.011759876275196188,0.8536750097044965,0.05133546006955988
40,Monk_3.mat,balanced_softmax,0.9692710892710892,0.021829898008474905,0.9950085036925429,0.004439933390232804,0.969270193253244,0.02182155187711979
41,Monk_3.mat,deepsmote,0.9729402129402128,0.021110657635594533,0.9955369882089741,0.004576709197831043,0.9729381516318197,0.02110877555588035
42,Monk_3.mat,ldam,0.9711384111384112,0.019508523866059828,0.9951431930509422,0.004786049584684085,0.9711363561363561,0.019508621029453433
43,Monk_3.mat,mlp_focal,0.9656511056511057,0.023497160616350255,0.9951317786985356,0.004484432995016963,0.9656548364346529,0.02348685943199528
44,Pima_Indians.mat,balanced_softmax,0.7447415329768271,0.027923009755453202,0.8317030048916841,0.022780961496773593,0.7481923311416303,0.02625967810906726
45,Pima_Indians.mat,deepsmote,0.7342925048807402,0.04221130322444254,0.8293333333333333,0.032157062173286115,0.7390753140217494,0.04035376007634294
46,Pima_Indians.mat,ldam,0.7655886597063069,0.019504092918777294,0.8301313766596786,0.02339797215375237,0.7608466669822789,0.017782804221175605
47,Pima_Indians.mat,mlp_focal,0.714795008912656,0.03187067092500796,0.829298392732355,0.023892964229246375,0.7200230964765811,0.03208811613675234
48,Plrx.mat,balanced_softmax,0.632132132132132,0.0721599970432468,0.45552447552447556,0.07392744585221572,0.5788115785734371,0.04736179438634959
49,Plrx.mat,deepsmote,0.4837837837837838,0.1002787757199245,0.4288111888111888,0.13552832739696322,0.5058851503289781,0.09480627553624198
